,city,lat,Lng,Max Temp,Date,Country,Wind speed,Humidity,Cloudiness
346,serebryansk,49.68,83.3,59.0,1535144400,KZ,6.71,87,75
347,bushehr,28.97,50.84,85.43,1535147439,IR,7.74,68,0
348,blagoyevo,63.37,47.92,42.32,1535147439,RU,1.92,91,0
349,bubaque,11.28,-15.83,80.6,1535144400,GW,5.82,83,20
350,najran,17.54,44.22,87.8,1535144400,SA,6.4,18,0
351,olinda,-2.03,-79.75,77.0,1535144400,EC,8.05,69,75
352,nauta,-4.51,-73.58,90.11,1535147441,PE,3.15,49,68
353,mandalgovi,45.76,106.27,56.99,1535147442,MN,2.59,100,92
354,saint george,39.45,22.34,69.8,1535143800,GR,2.37,73,20
355,ust-nera,64.57,143.24,48.89,1535147443,RU,2.37,99,100
356,anyang,36.1,114.34,72.2,1535147443,CN,6.4,82,64
357,vallenar,-28.58,-70.76,65.36,1535147443,CL,2.15,61,0
358,altay,47.83,88.13,35.12,1535147352,CN,2.37,74,0
359,gazli,40.13,63.45,67.43,1535147443,UZ,8.3,42,0
360,kaka,37.35,59.62,52.67,1535147444,TM,2.37,67,0
361,saqqez,36.24,46.27,58.25,1535147444,IR,1.92,75,0
362,rehoboth,-23.31,17.08,52.76,1535147444,NA,9.42,31,0
363,vardo,39.62,-77.74,87.8,1535145300,US,6.93,36,20
364,noumea,-22.28,166.46,64.4,1535144400,NC,10.65,72,0
365,college,64.86,-147.8,52.16,1535145960,US,5.82,96,90
366,bhatkal,13.97,74.57,74.81,1535147445,IN,3.94,100,92
367,alofi,-19.06,-169.92,75.2,1535144400,NU,1.12,88,90
368,tarifa,36.01,-5.6,78.8,1535146200,ES,4.7,50,0
369,aswan,24.09,32.9,89.6,1535144400,EG,2.24,27,0
370,laguna,27.52,-110.01,95.0,1535143260,MX,3.6,34,40
371,baihar,22.11,80.55,73.19,1535147446,IN,5.84,96,92
372,rocha,-34.48,-54.34,49.07,1535147447,UY,17.69,98,92
373,loreto,-23.27,-57.32,70.31,1535147447,PY,18.48,85,88
374,sungairaya,0.7,108.9,74.45,1535147448,ID,2.48,97,56
375,marilia,-8.64,-48.82,94.88,1535147448,BR,4.72,22,0
376,bela,26.23,66.31,69.68,1535147449,PK,1.92,98,12
377,smithers,54.78,-127.17,66.2,1535144400,CA,6.93,39,75
378,lasem,-6.99,112.52,74.36,1535147449,ID,4.72,97,0
379,hovd,63.83,10.7,53.6,1535145600,NO,11.41,81,75
380,juba,57.82,26.93,68.0,1535143800,EE,9.17,56,0
381,ajdabiya,30.75,20.22,78.23,1535147450,LY,10.65,69,0
382,butembo,0.12,29.29,57.98,1535147451,CD,0.25,97,36
383,geraldton,49.72,-86.95,71.6,1535144400,CA,11.41,64,90
